paymill_Amount,Importo
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Invia fattura tramite e-mail"
paymill_error_text_invalid_iban_elv,"Inserire un numero iban valido"
paymill_error_text_invalid_bic,"Inserire un codice bic valido."
paymill_accepted_creditcards,"Marche di Carte di Credito accettate"
paymill_feedback_error_directdebit_number_iban,"Per favore, inserire un codice BIC/Banca valido"
paymill_feedback_error_directdebit_bankcode_bic,"Per favore, inserire un codice IBAN/numero di conto valido"
paymill_prenotification,"Giorni mancanti all'addebito"
paymill_prenotification_text,"L'addebito sarà effettuato nella giornata seguente:"
paymill_show_creditcards,"Show creditcard logos"
paymill_select_creditcards,"Select creditcard logos"
