PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Rechnungsemail senden"
paymill_Amount,Amount
paymill_accepted_currency,"Accepted currencies"
paymill_opt_Enabled,Activate
paymill_opt_Countries,"Accepted countries"
paymill_Activate_Debugging,"Activate debugging"
paymill_fc_active,"Enable fast checkout"
paymill_Activate_Logging,"Activate logging."
paymill_preAuth_active,"Preauthorize transactions during checkout. Charge will be performed when generating invoices."
paymill_private_key_comment,"You can find your private key in the PAYMILL cockpit."
paymill_Private_Key,"Private key"
paymill_public_key_comment,"You can find your public key in the PAYMILL cockpit."
paymill_Public_Key,"Public key"
paymill_Show_Label,"Display PAYMILL logo during checkout."
paymill_opt_Sort,Sequence
paymill_token_tolerace_tooltip,"Amount that will be surcharged when generating the PAYMILL Token. This is to avoid deviations of 3-D secure."
paymill_token_tolerace_comment,"Amount that will be surcharged when generating the PAYMILL Token. This is to avoid deviations of 3-D secure."
paymill_token_tolerace,"Token tolerance value"
paymill_Currency,Currency
paymill_error_text_invalid_cvc,"Invalid CVC"
PAYMILL_field_invalid_card_cvc,"Invalid CVC"
paymill_error_text_invalid_holder_cc,"Please enter the card holder's name."
PAYMILL_field_invalid_card_holder,"Please enter the card holder's name."
paymill_error_text_invalid_number_cc,"Please enter a valid credit card number."
PAYMILL_field_invalid_card_number,"Please enter a valid credit card number."
paymill_error_text_invalid_expdate,"Invalid expiration date"
PAYMILL_field_invalid_bank_code,"Please enter a valid direct debit bank code."
paymill_error_text_invalid_bankcode,"Please enter a valid direct debit bank code."
paymill_error_text_invalid_holder_elv,"Please enter the name of the direct debit account holder"
PAYMILL_field_invalid_account_holder,"Please enter the name of the direct debit account holder"
paymill_error_text_invalid_number_elv,"Please enter a valid direct debit account number"
PAYMILL_field_invalid_account_number,"Please enter a valid direct debit account number"
paymill_error_text_invalid_payment,"Payment method could not be identified. Please contact support."
paymill_dialog_confirm,"Are you sure?"
paymill_slogan,"Secure credit card payments powered by"
paymill_slogan_elv,"Direct debit powered by"
paymill_credit_card,"Credit card"
paymill_creditcard,"Credit card"
paymill_3ds_cancel,Cancel
paymill_Cvc,CVC
paymill_Holder,"Card holder"
paymill_Number,"Card number"
paymill_Date,"Valid until"
paymill_cvc_tooltip,"The CVV code or CVC is a security feature of credit cards. It usually is a  three to four digit long number. On VISA credit cards, it is called CVV code. The same code can be found on MasterCard credit cards - where however it is called CVC. CVC is an abbreviation for ""Card Validation Code"". CVV code on the other hand is an abbreviation for ""Card Validation Value code"". Similar to MasterCard and Visa, other brands such as Diners Club, Discover and JCB contain a three digit number that can usually be found on the back of the credit card. MAESTRO cards exist with and without a three digit CVV. In case a MAESTRO card without a CVV will be used, it is possible to enter 000 to the form instead. American Express uses the CID (card identification number). The CID is a four digit number that can usually be found on the front of the card, top right from the credit card number. "
paymill_directdebit,"Direct debit"
paymill_direct_debit,"Direct debit"
paymill_bankcode,"Bank code"
paymill_account,"Account number"
paymill_backend_log_entry_date,"Date of entry"
paymill_backend_log_dev_info,"Inform developer"
paymill_backend_log_id,Id
paymill_backend_log_merchant_info,"Merchant information"
paymill_log,"PAYMILL log"
paymill_backend_log_version,"Module version"
paymill_credit_card_label,"PAYMILL credit card payments"
paymill_direct_debit_label,"PAYMILL direct debit"
paymill_activate_sepa,"Show SEPA form"
paymill_Basic_Setting,"Paymill Basic Settings"
paymill_iban,IBAN
paymill_bic,BIC
paymill_public_key_tooltip,"Please enter a valid publickey"
paymill_private_key_tooltip,"Please enter a valid privatekey"
paymill_error_text_invalid_token,"The following error occurred:"
paymill_error_text_no_entry_selected,"Please select an entry"
paymill_action_delete,"Delete entry"
paymill_backend_log_dev_info_additional,"Additional Developer Information"
paymill_checkout_generating_invoice,"Invoice is beeing generated"
paymill_log_action_success,"Action successful"
paymill_checkout_desc,"Description text"
"General undefined response.","General undefined response."
"Still waiting on something.","Still waiting on something."
"General success response.","General success response."
"General problem with data.","General problem with data."
"General problem with payment data.","General problem with payment data."
"Problem with credit card data.","Problem with credit card data."
"Problem with cvv.","Problem with cvv."
"Card expired or not yet valid.","Card expired or not yet valid."
"Limit exceeded.","Limit exceeded."
"Card invalid.","Card invalid."
"Expiry date not valid.","Expiry date not valid."
"Credit card brand required.","Credit card brand required."
"Problem with bank account data.","Problem with bank account data."
"Bank account data combination mismatch.","Bank account data combination mismatch."
"User authentication failed.","User authentication failed."
"Problem with 3d secure data.","Problem with 3d secure data."
"Currency / amount mismatch","Currency / amount mismatch"
"Problem with input data.","Problem with input data."
"Amount too low or zero.","Amount too low or zero."
"Usage field too long.","Usage field too long."
"Currency not allowed.","Currency not allowed."
"General problem with backend.","General problem with backend."
"Country blacklisted.","Country blacklisted."
"Technical error with credit card.","Technical error with credit card."
"Error limit exceeded.","Error limit exceeded."
"Card declined by authorization system.","Card declined by authorization system."
"Manipulation or stolen card.","Manipulation or stolen card."
"Card restricted.","Card restricted"
"Invalid card configuration data.","Invalid card configuration data."
"Technical error with bank account.","Technical error with bank account."
"Card blacklisted.","Card blacklisted."
"Technical error with 3D secure.","Technical error with 3D secure."
"Decline because of risk issues.","Decline because of risk issues."
"General timeout.","General timeout."
"Timeout on side of the acquirer.","Timeout on side of the acquirer."
"Risk management transaction timeout.","Risk management transaction timeout"
"Duplicate transaction.","Duplicate transaction."
PAYMILL_internal_server_error,"The communication with the psp failed."
PAYMILL_invalid_public_key,"The public key is invalid."
PAYMILL_invalid_payment_data,"Paymentmethod, card type currency or country not authorized"
PAYMILL_unknown_error,"Unknown Error"
PAYMILL_3ds_cancelled,"3-D Secure process has been canceled by the user"
PAYMILL_field_invalid_card_exp_year,"Invalid Expiry Year"
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Send invoice mail"
