paymill_Amount,Betrag
PAYMILL_unknown_error,"Unknown Error"
PAYMILL_3ds_cancelled,"3-D Secure process has been canceled by the user"
PAYMILL_field_invalid_card_exp_year,"Invalid Expiry Year"
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Rechnungsemail senden"
paymill_error_text_invalid_iban_elv,"Bitte geben Sie eine gültige IBAN an."
paymill_error_text_invalid_bic,"Bitte geben Sie eine gültige BIC an."
paymill_accepted_creditcards,"Akzeptierte Kreditkarten"
paymill_feedback_error_directdebit_number_iban,"Bitte geben Sie eine gültige IBAN/Kontonummer ein."
paymill_feedback_error_directdebit_bankcode_bic,"Bitte geben Sie eine gültige BIC/Bankleitzahl an."
paymill_prenotification,"Tage bis zum Einzug"
paymill_prenotification_text,"Die Lastschrift wird zu dem folgenden Termin eingezogen:"
paymill_show_creditcards,"Anzeige von Kreditkarten Logos"
paymill_select_creditcards,"Selektiere Kreditkarten Logos"
