paymill_Amount,Amount
paymill_cvc_tooltip,"The CVV code or CVC is a security feature of credit cards. It usually is a  three to four digit long number. On VISA credit cards, it is called CVV code. The same code can be found on MasterCard credit cards - where however it is called CVC. CVC is an abbreviation for ""Card Validation Code"". CVV code on the other hand is an abbreviation for ""Card Validation Value code"". Similar to MasterCard and Visa, other brands such as Diners Club, Discover and JCB contain a three digit number that can usually be found on the back of the credit card. MAESTRO cards exist with and without a three digit CVV. In case a MAESTRO card without a CVV will be used, it is possible to enter 000 to the form instead. American Express uses the CID (card identification number). The CID is a four digit number that can usually be found on the front of the card, top right from the credit card number. "
paymill_directdebit,"Direct debit"
paymill_direct_debit,"Direct debit"
paymill_bankcode,"Bank code"
paymill_account,"Account number"
paymill_backend_log_entry_date,"Date of entry"
paymill_backend_log_dev_info,"Inform developer"
paymill_backend_log_id,Id
paymill_backend_log_merchant_info,"Merchant information"
paymill_log,"PAYMILL log"
paymill_backend_log_version,"Module version"
paymill_credit_card_label,"PAYMILL credit card payments"
paymill_direct_debit_label,"PAYMILL direct debit"
paymill_activate_sepa,"Show SEPA form"
paymill_Basic_Setting,"Paymill Basic Settings"
paymill_iban,IBAN
paymill_bic,BIC
paymill_public_key_tooltip,"Please enter a valid publickey"
paymill_private_key_tooltip,"Please enter a valid privatekey"
paymill_error_text_invalid_token,"The following error occurred:"
paymill_error_text_no_entry_selected,"Please select an entry"
paymill_action_delete,"Delete entry"
paymill_backend_log_dev_info_additional,"Additional Developer Information"
paymill_checkout_generating_invoice,"Invoice is beeing generated"
paymill_log_action_success,"Action successful"
paymill_checkout_desc,"Description text"
"General undefined response.","General undefined response."
"Still waiting on something.","Still waiting on something."
"General success response.","General success response."
"General problem with data.","General problem with data."
"General problem with payment data.","General problem with payment data."
"Problem with credit card data.","Problem with credit card data."
"Problem with cvv.","Problem with cvv."
"Card expired or not yet valid.","Card expired or not yet valid."
"Limit exceeded.","Limit exceeded."
"Card invalid.","Card invalid."
"Expiry date not valid.","Expiry date not valid."
"Credit card brand required.","Credit card brand required."
"Problem with bank account data.","Problem with bank account data."
"Bank account data combination mismatch.","Bank account data combination mismatch."
"User authentication failed.","User authentication failed."
"Problem with 3d secure data.","Problem with 3d secure data."
"Currency / amount mismatch","Currency / amount mismatch"
"Problem with input data.","Problem with input data."
"Amount too low or zero.","Amount too low or zero."
"Usage field too long.","Usage field too long."
"Currency not allowed.","Currency not allowed."
"General problem with backend.","General problem with backend."
"Country blacklisted.","Country blacklisted."
"Technical error with credit card.","Technical error with credit card."
"Error limit exceeded.","Error limit exceeded."
"Card declined by authorization system.","Card declined by authorization system."
"Manipulation or stolen card.","Manipulation or stolen card."
"Card restricted.","Card restricted"
"Invalid card configuration data.","Invalid card configuration data."
"Technical error with bank account.","Technical error with bank account."
"Card blacklisted.","Card blacklisted."
"Technical error with 3D secure.","Technical error with 3D secure."
"Decline because of risk issues.","Decline because of risk issues."
"General timeout.","General timeout."
"Timeout on side of the acquirer.","Timeout on side of the acquirer."
"Risk management transaction timeout.","Risk management transaction timeout"
"Duplicate transaction.","Duplicate transaction."
PAYMILL_internal_server_error,"The communication with the psp failed."
PAYMILL_invalid_public_key,"The public key is invalid."
PAYMILL_invalid_payment_data,"Paymentmethod, card type currency or country not authorized"
PAYMILL_unknown_error,"Unknown Error"
PAYMILL_3ds_cancelled,"3-D Secure process has been canceled by the user"
PAYMILL_field_invalid_card_exp_year,"Invalid Expiry Year"
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Send invoice mail"
paymill_error_text_invalid_iban_elv,"Please enter a valid iban"
paymill_error_text_invalid_bic,"Please enter a valid bic."
paymill_accepted_creditcards,"Accepted Credit Card Brands"
paymill_feedback_error_directdebit_number_iban,"Please enter a valid IBAN/direct debit account number"
paymill_feedback_error_directdebit_bankcode_bic,"Please enter a valid BIC/direct debit bank code"
paymill_prenotification,"Days until the debit"
paymill_prenotification_text,"The direct debit is drawn to the following date:"
paymill_show_creditcards,"Show creditcard logos"
paymill_select_creditcards,"Select creditcard logos"
